datetime,line_id,inflow_m3d,per
2018-09-01,7526431,3094450.0,8
2018-10-01,7526431,3200730.0,9
2018-11-01,7526431,4196490.0,10
2018-12-01,7526431,9347630.0,11
2018-01-01,7546613,230831.0,0
2018-02-01,7546613,2966500.0,1
2018-03-01,7546613,938758.0,2
2018-04-01,7546613,1060680.0,3
2018-05-01,7546613,809863.0,4
2018-06-01,7546613,238262.0,5
2018-07-01,7546613,174212.0,6
2018-08-01,7546613,237903.0,7
2018-09-01,7546613,417256.0,8
2018-10-01,7546613,236626.0,9
2018-11-01,7546613,553751.0,10
2018-12-01,7546613,1187300.0,11
2018-01-01,7548953,81502.0,0
2018-02-01,7548953,816880.0,1
2018-03-01,7548953,217109.0,2
2018-04-01,7548953,222141.0,3
2018-05-01,7548953,189978.0,4
2018-06-01,7548953,233376.0,5
2018-07-01,7548953,87716.3,6
2018-08-01,7548953,194458.0,7
2018-09-01,7548953,133679.0,8
2018-10-01,7548953,115381.0,9
2018-11-01,7548953,214591.0,10
2018-12-01,7548953,397356.0,11
2018-01-01,7549149,90312.2,0
2018-02-01,7549149,829783.0,1
2018-03-01,7549149,307256.0,2
2018-04-01,7549149,256015.0,3
2018-05-01,7549149,240375.0,4
2018-06-01,7549149,238127.0,5
2018-07-01,7549149,75577.9,6
2018-08-01,7549149,159192.0,7
2018-09-01,7549149,116850.0,8
2018-10-01,7549149,102385.0,9
2018-11-01,7549149,163534.0,10
2018-12-01,7549149,471418.0,11
2018-01-01,7550145,111536.0,0
2018-02-01,7550145,1640850.0,1
2018-03-01,7550145,456565.0,2
2018-04-01,7550145,222997.0,3
2018-05-01,7550145,104955.0,4
2018-06-01,7550145,122642.0,5
2018-07-01,7550145,33597.6,6
2018-08-01,7550145,49141.4,7
2018-09-01,7550145,21640.4,8
2018-10-01,7550145,60428.5,9
2018-11-01,7550145,347800.0,10
2018-12-01,7550145,823498.0,11
2018-01-01,7550593,99009.0,0
2018-02-01,7550593,982466.0,1
2018-03-01,7550593,256545.0,2
2018-04-01,7550593,148413.0,3
2018-05-01,7550593,76760.3,4
2018-06-01,7550593,105820.0,5
2018-07-01,7550593,17187.4,6
2018-08-01,7550593,82632.4,7
2018-09-01,7550593,74781.0,8
2018-10-01,7550593,107389.0,9
2018-11-01,7550593,239111.0,10
2018-12-01,7550593,477838.0,11
2018-01-01,7551009,109526.0,0
2018-02-01,7551009,1898040.0,1
2018-03-01,7551009,514965.0,2
2018-04-01,7551009,222599.0,3
2018-05-01,7551009,138270.0,4
2018-06-01,7551009,106497.0,5
2018-07-01,7551009,19916.9,6
2018-08-01,7551009,45699.3,7
2018-09-01,7551009,32860.4,8
2018-10-01,7551009,74961.1,9
2018-11-01,7551009,402868.0,10
2018-12-01,7551009,836621.0,11
2018-01-01,7561873,1523120.0,0
2018-02-01,7561873,7100130.0,1
2018-03-01,7561873,5308310.0,2
2018-04-01,7561873,3724010.0,3
2018-05-01,7561873,3116010.0,4
2018-06-01,7561873,1925180.0,5
2018-07-01,7561873,1436410.0,6
2018-08-01,7561873,1599400.0,7
2018-09-01,7561873,1575390.0,8
2018-10-01,7561873,1822350.0,9
2018-11-01,7561873,2202540.0,10
2018-12-01,7561873,4804440.0,11
2018-01-01,7573847,1456480.0,0
2018-02-01,7573847,6378790.0,1
2018-03-01,7573847,5728950.0,2
2018-04-01,7573847,4774420.0,3
2018-05-01,7573847,3608450.0,4
2018-06-01,7573847,1990960.0,5
2018-07-01,7573847,1556960.0,6
2018-08-01,7573847,1818140.0,7
2018-09-01,7573847,1388640.0,8
2018-10-01,7573847,1530790.0,9
2018-11-01,7573847,1983480.0,10
2018-12-01,7573847,3645670.0,11
2018-01-01,7671492,88695.5,0
2018-02-01,7671492,798871.0,1
2018-03-01,7671492,344023.0,2
2018-04-01,7671492,341870.0,3
2018-05-01,7671492,190648.0,4
2018-06-01,7671492,195671.0,5
2018-07-01,7671492,72350.1,6
2018-08-01,7671492,146945.0,7
2018-09-01,7671492,144716.0,8
2018-10-01,7671492,72460.2,9
2018-11-01,7671492,158641.0,10
2018-12-01,7671492,244273.0,11
